Time (s)	ex (deg)	thx (deg)	gazex (deg)
0	0.741797	-0.138647	0.60315
0.005	0.753222	-0.129792	0.62343
0.01	0.750187	-0.119773	0.630414
0.015	0.745158	-0.12699	0.618168
0.02	0.744042	-0.142911	0.601131
0.025	0.740198	-0.161089	0.579109
0.03	0.729846	-0.169755	0.560091
0.035	0.723606	-0.167083	0.556523
0.04	0.715943	-0.143433	0.57251
0.045	0.739485	-0.155029	0.584456
0.05	0.803803	-0.17911	0.624693
0.055	0.872118	-0.194632	0.677486
0.06	0.951578	-0.208281	0.743297
0.065	1.064694	-0.195497	0.869197
0.07	1.22914	-0.190138	1.039002
0.075	1.359859	-0.191172	1.168687
0.08	1.44007	-0.167089	1.272981
0.085	1.442056	-0.174931	1.267125
0.09	1.435907	-0.163125	1.272782
0.095	1.417417	-0.147612	1.269805
0.1	1.398577	-0.162669	1.235908
0.105	1.378294	-0.162615	1.215679
0.11	1.342018	-0.146548	1.19547
0.115	1.273933	-0.169639	1.104294
0.12	1.24994	-0.165536	1.084404
0.125	1.168933	-0.168997	0.999936
0.13	1.141802	-0.163259	0.978543
0.135	1.134407	-0.147627	0.98678
0.14	1.126593	-0.158505	0.968088
0.145	1.11906	-0.171907	0.947153
0.15	1.091529	-0.132809	0.95872
0.155	1.037959	-0.12127	0.916689
0.16	0.978396	-0.123284	0.855112
0.165	0.923876	-0.120514	0.803362
0.17	0.899563	-0.108936	0.790627
0.175	0.906062	-0.122742	0.78332
0.18	0.902203	-0.128871	0.773332
0.185	0.898564	-0.132603	0.765961
0.19	0.892346	-0.135919	0.756427
0.195	0.882913	-0.137258	0.745655
0.2	0.864328	-0.131238	0.73309
0.205	0.836444	-0.138196	0.698248
0.21	0.795392	-0.127859	0.667533
0.215	0.740225	-0.122181	0.618044
0.22	0.668604	-0.129	0.539604
0.225	0.648178	-0.130118	0.51806
0.23	0.636992	-0.117362	0.51963
0.235	0.636936	-0.114486	0.52245
0.24	0.63394	-0.095094	0.538846
0.245	0.634907	-0.108577	0.52633
0.25	0.645327	-0.116543	0.528784
0.255	0.646248	-0.130341	0.515907
0.26	0.644747	-0.153613	0.491134
0.265	0.647608	-0.139003	0.508605
0.27	0.663719	-0.113219	0.5505
0.275	0.698295	-0.100643	0.597652
0.28	0.714479	-0.10795	0.606529
0.285	0.738279	-0.12332	0.614959
0.29	0.755566	-0.139834	0.615732
0.295	0.780788	-0.117199	0.663589
0.3	0.783827	-0.121432	0.662395
0.305	0.785757	-0.116426	0.669331
0.31	0.803149	-0.101755	0.701394
0.315	0.804799	-0.106569	0.69823
0.32	0.88399	-0.11115	0.77284
0.325	0.88919	-0.111871	0.777319
0.33	0.90825	-0.109463	0.798787
0.335	0.918942	-0.107306	0.811636
0.34	0.943005	-0.111395	0.83161
0.345	0.947413	-0.113163	0.83425
0.35	0.936652	-0.112968	0.823684
0.355	0.940128	-0.114723	0.825405
0.36	0.949683	-0.111614	0.838069
0.365	0.958433	-0.110125	0.848308
0.37	1.002893	-0.096602	0.906291
0.375	1.05505	-0.082428	0.972622
0.38	1.076069	-0.06906	1.007009
0.385	1.06642	-0.069033	0.997387
0.39	1.037929	-0.066114	0.971815
0.395	0.988258	-0.063829	0.924429
0.4	0.972038	-0.055013	0.917025
0.405	0.983237	-0.065989	0.917248
0.41	0.99672	-0.065003	0.931717
0.415	1.001787	-0.048949	0.952838
0.42	1.0111	-0.032937	0.978163
0.425	1.00315	-0.040117	0.963033
0.43	0.971016	-0.038897	0.932119
